Tolerances Left At Default,,,,,
solver name,avg energy - base,# of loops,avg resid norm,seconds in single loop,avg energy in loop no tol
scipy bicgstab,140.4131148,4239,9.59E-05,0.8492569,0.033124113
scipy bicg,140.4967213,3897,0.000262924,0.923787529,0.036052533
scipy cg,141.5590164,7017,0.000262924,0.513039761,0.020173723
scipy factorized,45.90327869,100634,2.14E-13,0.035773198,0.000456141
scipy gcrotmk,140.4918033,8246,0.000265186,0.436575309,0.01703757
scipy gmres,141.2229508,869,0.00026891,4.14269275,0.162512026
scipy lgmres,139.8,8850,0.000174584,0.406779661,0.01579661
scipy minres,138.4196721,53936,0.148901109,0.066745773,0.002566369
scipy qmr,141.5360656,3590,0.000259516,1.002785515,0.039425088
scipy spsolve,45.60491803,97781,2.14E-13,0.036816969,0.000466399
,,,,,
Tolerances Actively Set,,,,,
solver name,avg energy - base,# of loops,avg resid norm,seconds in single loop,avg energy in loop
scipy bicgstab,139.7491803,3718,2.19E-06,0.968262507,0.037587192
scipy bicg,139.7098361,2756,2.53E-06,1.306240929,0.050692974
scipy cg,139.3934426,4963,2.53E-06,0.725367721,0.028086529
scipy factorized,44.76885246,100840,2.14E-13,0.035700119,0.000443959
scipy gcrotmk,139.0754098,6004,2.67E-06,0.599600266,0.023163792
scipy gmres,141.7737705,229,2.69E-06,15.72052402,0.619099434
scipy lgmres,139.0819672,5320,2.68E-06,0.676691729,0.026143227
scipy minres,138.5147541,7870,4.73E-06,0.457433291,0.01760035
scipy qmr,139.6803279,2679,2.66E-06,1.343784994,0.05213898
scipy spsolve,44.7,97750,2.14E-13,0.036828645,0.000457289
